KAMPR_ENV android-api35/sdk_gphone64_x86_64/ranchu | android-hwui-skia/vulkan-or-gles (renderer chosen by platform); board=goldfish_x86_64 device=emu64xa fingerprint=google/sdk_gphone64_x86_64/emu64xa:15/AE3A.240806.036/12592187:user/release-keys
KAMPR_BENCH android-api35/sdk_gphone64_x86_64/ranchu | 74x30 idle cursor | frames=300 fps=60.0 int_p05=16.66 int_p50=16.66 int_p95=16.66 int_p99=16.66 int_max=16.66 draw_p50=0.09 draw_p95=0.12 draw_p99=0.17 model_p50=0.01 model_p95=0.02 dropped=0 drop_pct=0.0 cache_hit_pct=-1.0
KAMPR_BENCH android-api35/sdk_gphone64_x86_64/ranchu | 74x30 mixed no-text | frames=300 fps=60.0 int_p05=16.66 int_p50=16.66 int_p95=16.66 int_p99=16.66 int_max=16.66 draw_p50=0.04 draw_p95=0.57 draw_p99=0.74 model_p50=0.05 model_p95=0.09 dropped=0 drop_pct=0.0 cache_hit_pct=-1.0
KAMPR_BENCH android-api35/sdk_gphone64_x86_64/ranchu | 74x30 mixed shape-every-frame | frames=300 fps=60.0 int_p05=16.66 int_p50=16.66 int_p95=16.66 int_p99=16.66 int_max=16.66 draw_p50=14.17 draw_p95=18.12 draw_p99=19.8 model_p50=0.03 model_p95=0.05 dropped=0 drop_pct=0.0 cache_hit_pct=-1.0
KAMPR_BENCH android-api35/sdk_gphone64_x86_64/ranchu | 74x30 mixed run-cache | frames=300 fps=60.0 int_p05=16.66 int_p50=16.66 int_p95=16.66 int_p99=16.66 int_max=16.66 draw_p50=1.77 draw_p95=2.17 draw_p99=3.55 model_p50=0.05 model_p95=0.08 dropped=0 drop_pct=0.0 cache_hit_pct=99.13
KAMPR_BENCH android-api35/sdk_gphone64_x86_64/ranchu | 74x30 mixed glyph-cache | frames=300 fps=60.0 int_p05=16.66 int_p50=16.66 int_p95=16.66 int_p99=16.66 int_max=16.66 draw_p50=7.58 draw_p95=8.14 draw_p99=8.52 model_p50=0.05 model_p95=0.08 dropped=0 drop_pct=0.0 cache_hit_pct=-1.0
KAMPR_BENCH android-api35/sdk_gphone64_x86_64/ranchu | 74x30 mixed bitmap-dirty | frames=300 fps=60.0 int_p05=16.66 int_p50=16.66 int_p95=16.66 int_p99=16.66 int_max=16.66 draw_p50=0.28 draw_p95=0.4 draw_p99=0.88 model_p50=0.05 model_p95=0.09 dropped=0 drop_pct=0.0 cache_hit_pct=100.0
KAMPR_BENCH android-api35/sdk_gphone64_x86_64/ranchu | 74x30 mixed run-cache recompose | frames=300 fps=60.0 int_p05=16.66 int_p50=16.66 int_p95=16.66 int_p99=16.66 int_max=16.66 draw_p50=1.51 draw_p95=1.65 draw_p99=1.8 model_p50=0.04 model_p95=0.08 dropped=0 drop_pct=0.0 cache_hit_pct=100.0
KAMPR_BENCH android-api35/sdk_gphone64_x86_64/ranchu | 74x30 scroll run-cache | frames=300 fps=60.0 int_p05=16.66 int_p50=16.66 int_p95=16.66 int_p99=16.66 int_max=16.66 draw_p50=1.69 draw_p95=2.18 draw_p99=2.58 model_p50=0.02 model_p95=0.13 dropped=0 drop_pct=0.0 cache_hit_pct=99.78
KAMPR_BENCH android-api35/sdk_gphone64_x86_64/ranchu | 74x30 worst no-text | frames=300 fps=60.0 int_p05=16.66 int_p50=16.66 int_p95=16.66 int_p99=16.66 int_max=16.66 draw_p50=0.06 draw_p95=0.47 draw_p99=0.52 model_p50=0.65 model_p95=0.73 dropped=0 drop_pct=0.0 cache_hit_pct=-1.0
KAMPR_BENCH android-api35/sdk_gphone64_x86_64/ranchu | 74x30 worst shape-every-frame | frames=300 fps=30.0 int_p05=33.33 int_p50=33.33 int_p95=49.99 int_p99=49.99 int_max=49.99 draw_p50=36.5 draw_p95=41.76 draw_p99=43.21 model_p50=0.61 model_p95=0.68 dropped=401 drop_pct=57.2 cache_hit_pct=-1.0
