KAMPR_ENV jvm-desktop/Linux/26.0.2 | skiko/auto
KAMPR_BENCH jvm-desktop/Linux/26.0.2 | 74x30 idle cursor | frames=300 fps=60.01 int_p05=16.36 int_p50=16.66 int_p95=17.11 int_p99=17.57 int_max=18.06 draw_p50=0.01 draw_p95=0.02 draw_p99=0.03 model_p50=0.0 model_p95=0.01 dropped=0 drop_pct=0.0 cache_hit_pct=-1.0
KAMPR_BENCH jvm-desktop/Linux/26.0.2 | 74x30 mixed no-text | frames=300 fps=59.98 int_p05=16.42 int_p50=16.67 int_p95=17.01 int_p99=17.57 int_max=18.5 draw_p50=0.01 draw_p95=0.37 draw_p99=0.44 model_p50=0.02 model_p95=0.06 dropped=0 drop_pct=0.0 cache_hit_pct=-1.0
KAMPR_BENCH jvm-desktop/Linux/26.0.2 | 74x30 mixed shape-every-frame | frames=300 fps=59.97 int_p05=16.38 int_p50=16.67 int_p95=16.99 int_p99=17.51 int_max=17.77 draw_p50=3.51 draw_p95=8.82 draw_p99=10.21 model_p50=0.02 model_p95=0.05 dropped=0 drop_pct=0.0 cache_hit_pct=-1.0
KAMPR_BENCH jvm-desktop/Linux/26.0.2 | 74x30 mixed run-cache | frames=300 fps=59.98 int_p05=15.75 int_p50=16.67 int_p95=17.59 int_p99=17.78 int_max=18.71 draw_p50=0.26 draw_p95=0.47 draw_p99=0.85 model_p50=0.01 model_p95=0.04 dropped=0 drop_pct=0.0 cache_hit_pct=99.13
KAMPR_BENCH jvm-desktop/Linux/26.0.2 | 74x30 mixed glyph-cache | frames=300 fps=60.0 int_p05=15.77 int_p50=16.66 int_p95=17.0 int_p99=17.66 int_max=48.65 draw_p50=1.43 draw_p95=1.83 draw_p99=2.08 model_p50=0.01 model_p95=0.04 dropped=2 drop_pct=0.66 cache_hit_pct=-1.0
KAMPR_BENCH jvm-desktop/Linux/26.0.2 | 74x30 mixed bitmap-dirty | frames=300 fps=59.96 int_p05=16.37 int_p50=16.67 int_p95=16.97 int_p99=17.22 int_max=20.55 draw_p50=0.33 draw_p95=0.51 draw_p99=0.65 model_p50=0.01 model_p95=0.04 dropped=0 drop_pct=0.0 cache_hit_pct=100.0
KAMPR_BENCH jvm-desktop/Linux/26.0.2 | 74x30 mixed run-cache recompose | frames=300 fps=59.92 int_p05=16.36 int_p50=16.68 int_p95=16.98 int_p99=17.61 int_max=18.22 draw_p50=0.17 draw_p95=0.28 draw_p99=0.32 model_p50=0.0 model_p95=0.02 dropped=0 drop_pct=0.0 cache_hit_pct=100.0
KAMPR_BENCH jvm-desktop/Linux/26.0.2 | 74x30 scroll run-cache | frames=300 fps=59.98 int_p05=16.43 int_p50=16.67 int_p95=16.92 int_p99=17.11 int_max=17.81 draw_p50=0.24 draw_p95=0.42 draw_p99=0.46 model_p50=0.01 model_p95=0.04 dropped=0 drop_pct=0.0 cache_hit_pct=99.79
KAMPR_BENCH jvm-desktop/Linux/26.0.2 | 74x30 worst no-text | frames=300 fps=59.98 int_p05=16.4 int_p50=16.67 int_p95=16.99 int_p99=17.27 int_max=17.58 draw_p50=0.02 draw_p95=0.16 draw_p99=0.25 model_p50=0.03 model_p95=0.04 dropped=0 drop_pct=0.0 cache_hit_pct=-1.0
KAMPR_BENCH jvm-desktop/Linux/26.0.2 | 74x30 worst shape-every-frame | frames=300 fps=59.78 int_p05=15.84 int_p50=16.72 int_p95=27.14 int_p99=34.81 int_max=36.68 draw_p50=13.41 draw_p95=24.14 draw_p99=30.21 model_p50=0.02 model_p95=0.04 dropped=32 drop_pct=9.63 cache_hit_pct=-1.0
KAMPR_BENCH jvm-desktop/Linux/26.0.2 | 74x30 worst run-cache | frames=300 fps=59.81 int_p05=15.54 int_p50=16.71 int_p95=30.05 int_p99=34.51 int_max=64.93 draw_p50=11.88 draw_p95=26.98 draw_p99=30.49 model_p50=0.02 model_p95=0.04 dropped=42 drop_pct=12.28 cache_hit_pct=0.25
KAMPR_BENCH jvm-desktop/Linux/26.0.2 | 74x30 worst glyph-cache | frames=300 fps=59.95 int_p05=15.84 int_p50=16.68 int_p95=17.57 int_p99=17.79 int_max=18.03 draw_p50=5.54 draw_p95=6.67 draw_p99=6.86 model_p50=0.02 model_p95=0.04 dropped=0 drop_pct=0.0 cache_hit_pct=-1.0
KAMPR_BENCH jvm-desktop/Linux/26.0.2 | 74x30 mixed zoom-redraw | frames=300 fps=59.96 int_p05=16.36 int_p50=16.67 int_p95=16.98 int_p99=17.59 int_max=18.01 draw_p50=3.73 draw_p95=4.79 draw_p99=5.24 model_p50=0.0 model_p95=0.01 dropped=0 drop_pct=0.0 cache_hit_pct=48.98
KAMPR_BENCH jvm-desktop/Linux/26.0.2 | 74x30 mixed zoom-layer | frames=300 fps=59.92 int_p05=15.61 int_p50=16.68 int_p95=44.86 int_p99=88.24 int_max=216.58 draw_p50=0.39 draw_p95=5.5 draw_p99=14.16 model_p50=0.0 model_p95=0.02 dropped=70 drop_pct=18.91 cache_hit_pct=98.98
KAMPR_BENCH jvm-desktop/Linux/26.0.2 | 200x50 mixed no-text | frames=300 fps=59.94 int_p05=16.27 int_p50=16.68 int_p95=17.06 int_p99=17.65 int_max=17.97 draw_p50=0.01 draw_p95=0.07 draw_p99=0.23 model_p50=0.0 model_p95=0.02 dropped=0 drop_pct=0.0 cache_hit_pct=-1.0
KAMPR_BENCH jvm-desktop/Linux/26.0.2 | 200x50 mixed shape-every-frame | frames=300 fps=59.93 int_p05=15.27 int_p50=16.68 int_p95=18.7 int_p99=24.71 int_max=84.91 draw_p50=6.3 draw_p95=15.98 draw_p99=19.03 model_p50=0.0 model_p95=0.01 dropped=8 drop_pct=2.59 cache_hit_pct=-1.0
KAMPR_BENCH jvm-desktop/Linux/26.0.2 | 200x50 mixed run-cache | frames=300 fps=59.96 int_p05=16.38 int_p50=16.67 int_p95=17.01 int_p99=17.74 int_max=18.19 draw_p50=0.48 draw_p95=0.94 draw_p99=1.66 model_p50=0.0 model_p95=0.02 dropped=0 drop_pct=0.0 cache_hit_pct=99.43
KAMPR_BENCH jvm-desktop/Linux/26.0.2 | 200x50 mixed glyph-cache | frames=300 fps=59.91 int_p05=16.35 int_p50=16.69 int_p95=32.22 int_p99=86.12 int_max=130.82 draw_p50=3.35 draw_p95=8.04 draw_p99=24.24 model_p50=0.0 model_p95=0.02 dropped=50 drop_pct=14.28 cache_hit_pct=-1.0
KAMPR_BENCH jvm-desktop/Linux/26.0.2 | 200x50 mixed bitmap-dirty | frames=300 fps=59.94 int_p05=16.38 int_p50=16.68 int_p95=16.93 int_p99=17.59 int_max=17.71 draw_p50=0.5 draw_p95=0.8 draw_p99=1.89 model_p50=0.0 model_p95=0.01 dropped=0 drop_pct=0.0 cache_hit_pct=99.28
KAMPR_BENCH jvm-desktop/Linux/26.0.2 | 200x50 scroll run-cache | frames=300 fps=59.96 int_p05=16.45 int_p50=16.67 int_p95=16.89 int_p99=17.01 int_max=17.27 draw_p50=0.37 draw_p95=0.72 draw_p99=0.8 model_p50=0.0 model_p95=0.04 dropped=0 drop_pct=0.0 cache_hit_pct=99.89
KAMPR_BENCH jvm-desktop/Linux/26.0.2 | 200x50 worst run-cache | frames=300 fps=16.54 int_p05=49.47 int_p50=60.44 int_p95=155.31 int_p99=195.41 int_max=235.87 draw_p50=54.02 draw_p95=141.38 draw_p99=179.46 model_p50=0.11 model_p95=0.15 dropped=1017 drop_pct=77.22 cache_hit_pct=0.03
KAMPR_BENCH jvm-desktop/Linux/26.0.2 | 200x50 worst glyph-cache | frames=300 fps=17.19 int_p05=52.2 int_p50=58.15 int_p95=92.57 int_p99=185.45 int_max=260.73 draw_p50=26.0 draw_p95=37.54 draw_p99=123.16 model_p50=0.11 model_p95=0.14 dropped=841 drop_pct=73.7 cache_hit_pct=-1.0
KAMPR_BENCH jvm-desktop/Linux/26.0.2 | 200x50 mixed zoom-redraw | frames=300 fps=61.55 int_p05=16.08 int_p50=16.24 int_p95=16.47 int_p99=16.97 int_max=33.34 draw_p50=5.6 draw_p95=6.27 draw_p99=7.64 model_p50=0.0 model_p95=0.01 dropped=1 drop_pct=0.33 cache_hit_pct=57.23
KAMPR_BENCH jvm-desktop/Linux/26.0.2 | 200x50 mixed zoom-layer | frames=300 fps=61.52 int_p05=16.05 int_p50=16.25 int_p95=16.55 int_p99=16.87 int_max=17.15 draw_p50=0.42 draw_p95=0.77 draw_p99=1.12 model_p50=0.0 model_p95=0.01 dropped=0 drop_pct=0.0 cache_hit_pct=99.35
KAMPR_BENCH jvm-desktop/Linux/26.0.2 | 74x30 mixed glyph-atlas | frames=300 fps=2.17 int_p05=425.19 int_p50=460.65 int_p95=516.17 int_p99=553.22 int_max=728.86 draw_p50=192.82 draw_p95=220.82 draw_p99=235.32 model_p50=0.04 model_p95=0.07 dropped=8078 drop_pct=96.41 cache_hit_pct=-1.0
KAMPR_BENCH jvm-desktop/Linux/26.0.2 | 74x30 worst glyph-atlas | frames=300 fps=1.46 int_p05=641.5 int_p50=682.35 int_p95=1081.68 int_p99=5662.64 int_max=6098.63 draw_p50=251.39 draw_p95=492.47 draw_p99=1776.58 model_p50=0.03 model_p95=0.06 dropped=15593 drop_pct=98.11 cache_hit_pct=-1.0
