KAMPR_ENV wasmJs/Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Sa | canvases=1 | bodyChildren=div | canvas0=webgl2 renderer=ANGLE (Intel, Mesa Intel(R) UHD Graphics (TGL GT1), OpenGL ES 3.2) css=1400x860 | webgpu_api=present | dpr=1
KAMPR_BENCH wasmJs/Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Sa | 74x30 idle cursor | frames=300 fps=59.88 int_p05=16.6 int_p50=16.7 int_p95=16.79 int_p99=16.79 int_max=16.79 draw_p50=0.0 draw_p95=0.1 draw_p99=0.1 model_p50=0.0 model_p95=0.0 dropped=0 drop_pct=0.0 cache_hit_pct=-1.0
KAMPR_BENCH wasmJs/Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Sa | 74x30 mixed no-text | frames=300 fps=59.88 int_p05=16.6 int_p50=16.7 int_p95=16.79 int_p99=16.79 int_max=24.8 draw_p50=0.0 draw_p95=0.3 draw_p99=0.4 model_p50=0.0 model_p95=0.1 dropped=0 drop_pct=0.0 cache_hit_pct=-1.0
KAMPR_BENCH wasmJs/Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Sa | 74x30 mixed shape-every-frame | frames=300 fps=59.88 int_p05=16.6 int_p50=16.7 int_p95=16.79 int_p99=16.79 int_max=16.79 draw_p50=8.8 draw_p95=9.89 draw_p99=10.6 model_p50=0.0 model_p95=0.1 dropped=0 drop_pct=0.0 cache_hit_pct=-1.0
KAMPR_BENCH wasmJs/Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Sa | 74x30 mixed run-cache | frames=300 fps=59.88 int_p05=16.6 int_p50=16.7 int_p95=16.79 int_p99=16.79 int_max=16.79 draw_p50=0.6 draw_p95=1.0 draw_p99=1.1 model_p50=0.0 model_p95=0.1 dropped=0 drop_pct=0.0 cache_hit_pct=99.17
KAMPR_BENCH wasmJs/Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Sa | 74x30 mixed glyph-cache | frames=300 fps=59.88 int_p05=16.6 int_p50=16.7 int_p95=16.79 int_p99=16.79 int_max=16.79 draw_p50=2.6 draw_p95=3.0 draw_p99=3.3 model_p50=0.0 model_p95=0.1 dropped=0 drop_pct=0.0 cache_hit_pct=-1.0
KAMPR_BENCH wasmJs/Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Sa | 74x30 mixed bitmap-dirty | frames=300 fps=59.88 int_p05=16.6 int_p50=16.7 int_p95=16.79 int_p99=16.79 int_max=16.79 draw_p50=0.6 draw_p95=1.2 draw_p99=1.3 model_p50=0.0 model_p95=0.1 dropped=0 drop_pct=0.0 cache_hit_pct=100.0
KAMPR_BENCH wasmJs/Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Sa | 74x30 mixed run-cache recompose | frames=300 fps=59.88 int_p05=16.6 int_p50=16.7 int_p95=16.79 int_p99=16.79 int_max=16.79 draw_p50=0.4 draw_p95=0.5 draw_p99=0.6 model_p50=0.0 model_p95=0.1 dropped=0 drop_pct=0.0 cache_hit_pct=100.0
KAMPR_BENCH wasmJs/Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Sa | 74x30 scroll run-cache | frames=300 fps=59.88 int_p05=16.6 int_p50=16.7 int_p95=16.79 int_p99=16.79 int_max=16.79 draw_p50=0.4 draw_p95=0.8 draw_p99=1.1 model_p50=0.0 model_p95=0.1 dropped=0 drop_pct=0.0 cache_hit_pct=99.78
KAMPR_BENCH wasmJs/Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Sa | 74x30 worst no-text | frames=300 fps=59.88 int_p05=16.6 int_p50=16.7 int_p95=16.79 int_p99=16.79 int_max=16.79 draw_p50=0.0 draw_p95=0.3 draw_p99=0.5 model_p50=0.1 model_p95=0.2 dropped=0 drop_pct=0.0 cache_hit_pct=-1.0
KAMPR_BENCH wasmJs/Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Sa | 74x30 worst shape-every-frame | frames=300 fps=30.03 int_p05=16.6 int_p50=33.3 int_p95=50.0 int_p99=50.1 int_max=50.2 draw_p50=23.6 draw_p95=26.7 draw_p99=29.1 model_p50=0.1 model_p95=0.2 dropped=221 drop_pct=42.41 cache_hit_pct=-1.0
KAMPR_BENCH wasmJs/Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Sa | 74x30 worst run-cache | frames=300 fps=30.03 int_p05=16.6 int_p50=33.3 int_p95=50.0 int_p99=50.2 int_max=100.1 draw_p50=24.5 draw_p95=31.0 draw_p99=33.3 model_p50=0.1 model_p95=0.2 dropped=255 drop_pct=45.94 cache_hit_pct=0.25
KAMPR_BENCH wasmJs/Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Sa | 74x30 worst glyph-cache | frames=300 fps=59.88 int_p05=16.6 int_p50=16.7 int_p95=16.79 int_p99=16.79 int_max=33.3 draw_p50=9.3 draw_p95=10.0 draw_p99=13.1 model_p50=0.1 model_p95=0.2 dropped=1 drop_pct=0.33 cache_hit_pct=-1.0
